Node,Page Rank,Frequency,Follower Count,Timestamp,Conflation
please just stop doing it,0.008543354320538397,1,18575,"1327682780
",0
hugs#n,0.012726906313163519,2,1424,"1408246592
",0
send her a cute goodnight text while she's sleeping so she wakes up with a smile on her face.,0.016678219418895256,9,246430,"1327641675
",73
blow up her phone when shes sleep so she can wake up blushing .,0.00991957448275321,2,1178,"1327720162
",67
send her cute messages while she's sleeping so she can wake up with an smile on her face. &lt;3,0.014096555336302056,4,593,"1327728468
",70
smoke a blunt with her grab and her butt!,0.014610152263332255,10,111,"1405315235
",72
stop breaking into her apartment and taping magic: the gathering cards to her mirror 2. plea…,0.012204452044157994,1,629,"1409175966
",70
Check outhis hashtag #30WaysToMakeAGirlSmile I suggest No 31: make her read all the tweets!!,0.007937332803481816,1,310,"1404310217
",73
when you know shes asleep and you send her a very long text message expressing your love and she wa…,0.013184615687140631,2,787,"1450171330
",74
tell her you love her#n,0.01040734007843086,2,1424,"1408246592
",0
ice cold bong rips,0.0018577707396026904,1,428,"1405310689
",1
send her sweet text messages when she goes to sleep so she can wake up to them in the morning. (,0.012338670019418886,2,1240,"1327709674
",72
tell her shes beautiful.,0.012174889669548581,6,2242,"1327654874
",66
be the first person to say good morning every day sice the moment you know you love her,0.010320561805440451,2,0,"1445623222
",70
#fivewordstoruinaustraliaday,0.001665741254858412,1,542,"1422183436
",0
“@_mermaidari: #30waystomakeagirlsmile send her long cheesy goodmorning\/goodnight texts.”😍😍😍 weakness 🙈,0.007687894573839558,1,357,"1414304863
",67
text her randomly &amp; let her kno that she was on ur mind &amp; to have a good day &amp; smile c,0.013840726953969543,1,0,"1416804522
",75
ask her to smile,0.013231995414368118,4,1631576,"1327699327
",70
tell her she is beautiful. She will always remember that :),0.010701527389818954,2,17,"1404810871
",67
tell her that she is beautiful inside and outside. and you love her no matter what and she always will be loved,0.013966720289272854,1,1266,"1327672723
",69
ask her if you can just compliment her. They smile before you actually do.,0.012358257017668897,1,124,"1437634969
",69
"instead of saying #oomf, mention her.",0.00941392002378076,1,35628,"1428606953
",67
Leave her voice messages to wake up to.#N#,0.010784696448499012,9,21153,"1418137576
",70
I like to keep a raw sweet potato in my purse in case I need a,0.006290602332763355,1,181,"1430152068
",54
text her randomly &amp; let her kno that she was on ur mind &amp; to have http:\/\/t.co\/JnQ0OGgucE,0.014626982378442923,1,2,"1415905962
",76
have swag. http:\/\/t.co\/pp4ItRTf,0.0050041306015423115,8,75,"1448588874
",16
“@browndoode: #30WaysToMakeAGirlSmile cut her from ear to ear #turnon” lmfao 😂,0.008842617069241877,1,78,"1424345614
",72
tell her that she is beautiful inside and outside. and you love her no matter what and she always …,0.014371847233039579,1,17,"1404810880
",69
kisses#n,0.01040734007843086,2,1424,"1408246592
",0
"Tell her she's beautiful not hot, she's not a temperature bro. #N#",0.011123860802266025,8,21040,"1418137311
",72
a fat wallet,0.005091196604957682,2,1719,"1437793652
",27
"""@9gagarchive: #30WaysToMakeAGirlSmile tell her you have a private plane."" lol",0.013223499036001769,1,408,"1424252048
",76
lol RT @TonyStarkTweets : #30WaysToMakeAGirlSmile tell her you have a#N#private plane.,0.012573516744083697,1,2454,"1411155685
",76
"According to Tony Montana, aka Scarface, girls love ice cream. If you give a girl ice cream x30, then it's all good.",0.007671204279035776,1,848,"1417263675
",65
stop breaking into her apartment and taping magic: the gathering cards to her mirror,0.016228116456091433,2,18575,"1327682780
",0
lol RT @TonyStarkTweets :#N##30WaysToMakeAGirlSmile tell her you have a#N#private plane.,0.011638857333799506,1,2454,"1411156687
",76
tell her how much she really means to you.,0.013385273311105096,2,201,"1404743236
",70
tell her shes beautiful even when she looks like complete crap,0.010799220355363053,2,152,"1443320744
",68
"""@9gagarchive: #30WaysToMakeAGirlSmile tell her you have a private plane.""",0.013692944709025767,1,298,"1407765414
",76
Love her at her best and at her worst.,0.01426963243812225,12,0,"1404841949
",66
Introduce her to your family and friends#N#,0.011150073730850033,9,21041,"1418137624
",70
"u don't have to buy her anything. We don't need ur money. Just simply be there for her, hugged her when she's sad.",0.014065617037244623,1,1370,"1415635076
",76
text her randomly &amp; let her kno that she was on ur mind &amp; to have a good day &amp; smile cuz she's b,0.014397090474069004,3,0,"1413760558
",75
stop breaking into her apartment and taping magic: the gathering cards to her mirror 2. please just stop doing it,0.011296028752666862,1,18575,"1327682780
",72
Send her a cute goodnight text while she's sleeping so she wakes up and read the text with a smile on her face. :),0.016569143528058904,2,2454,"1411156521
",74
plea,0.008543354320538397,1,629,"1409175966
",0
be there for her whenever she need someone.,0.001665741254858412,2,388,"1327733599
",0
make her feel like she's a princess (',0.013247851592201501,2,13888,"1341038832
",72
send her a goodnight text whilst shes sleeping so she wakes up with a smile on her face,0.016189475969081688,2,43,"1448579949
",73
“@TRISHA8891: lmao “@GRIMEYSKIZZ: #30WaysToMakeAGirlSmile attempt to run your hand through her weave and say I love that you have real hair”,0.01106026165187441,2,78,"1424345914
",76
- let them wear your football uniform! -@TyfaniSupaBadd http:\/\/t.co\/hixO7ZZb,0.004178741028255703,6,488,"1412476693
",18
Send her a cute goodnight text while she's sleeping so she wakes up and read the text with a smile …,0.014081051340392371,1,697,"1411602617
",74
tell her you have a private plane.,0.014235457472150959,104,3842,"1422437223
",74
pay her bills with a smile#n,0.010418035316089088,2,1424,"1408246592
",0
Be there for her whenever she need someone.,0.010035944659942318,2,388,"1327733599
",68
remind her how much you love\/like her and why you do - girls get insecure &amp; jealous they need rea…,0.012392111796378872,2,10954,"1406822787
",70
"Tell her you're big down there, she'll laugh because she knows it's not true.",0.010416712146557735,4,440,"1407421982
",70
“@melicano96: #30waystomakeagirlsmile 8)sing to her not matter how horrible your voice is.”,0.00853162306551221,2,385,"1407985789
",70
Text her at night while shes asleep and say i know your asleep i just wanted to make u smile in the morning..,0.00940676399217961,1,1557,"1327644588
",73
Give her flowers,0.011106855663056756,9,21041,"1418137116
",66
http:\\/\\/t.co\\/j0fqlmlsfi #trndnl,0.001665741254858412,1,6128,"1428572586
",1
call her just to say hi.,0.010735683414856366,6,6327,"1434747888
",69
"When she's upset, hold her tight and don't let her go",0.014112746784043012,13,171,"1418309590
",73
"Fight against the Basilisk for you. Oh, well.",0.004228524727553385,4,5429,"1435308943
",35
the koch brothers #makeakidshowserious,0.001665741254858412,1,8,"1428452112
",0
#makeakidshowserious,0.001665741254858412,2,59,"1428455938
",1
cast an Patronus Charm to make her happy.,0.009609045017347495,18,84,"1442102859
",69
"""@SophieSorensen: #30WaysToMakeAGirlSmile preach it Weezy http:\/\/t.co\/ApNZ0r5vCv""",0.005348192963293824,1,162,"1405576103
",23
"""put a smileeee on that face"" http:\/\/t.co\/hUXAtTlY",0.007208156485200683,2,199,"1327646513
",45
"Give her love letters, that's an effort.",0.009687758540420512,10,21180,"1418136584
",68
“@gleeand1D: #30WaysToMakeAGirlSmile have a smile like this. http:\/\/t.co\/G9Bs86zuL8”wow,0.007652572032337064,1,1247,"1423591371
",48
Show her that you're proud to be with her,0.014759421299229313,9,21040,"1418137252
",71
"Movie night cuddling, instead of going out.",0.0020165788160197403,3,21041,"1418137227
",3
tell her shes beautiful without no makeup on and mean it .,0.010336026272583999,2,759,"1409160526
",71
“@TRISHA8891: lmao “@GRIMEYSKIZZ: #30WaysToMakeAGirlSmile attempt to run your hand through her weave and say I love that yo…,0.01008390228274406,1,1249,"1424355798
",74
remind her how much you love\/like her and why you do - girls get insecure & jealous they need reasurance!,0.012375469361599707,2,1491,"1327664098
",70
wash her back,0.011565086709166091,2,1424,"1408246592
",0
"“@AliOriginalSin: ""@NiceTittyAlex: #30WaysToMakeAGirlSmile when you eat her out make sure she queefs on yur face, she will giggle &amp; smile""",0.011525687711165047,1,78,"1424346019
",73
text her something adorable when you KNOW shes asleep so when she wakes up she's smiling from ear to ear!,0.012137570271999193,1,836,"1327688405
",71
Send her a morning text,0.012926930251555124,3,762,"1448561838
",72
Let her order the food first.,0.009229874982528039,5,404,"1418137171
",68
give her a surprise kiss on the forehead,0.011194692201367522,10,1503,"1427493740
",74
slap her around a bit.,0.011652830537499187,1,348,"1426648527
",72
send a cute goodnight text every now and then to make her wake up with a smile on her face,0.0157286231860544,2,66,"1407429607
",73
a cheesy joke to start off the day,0.006580210533119291,2,359,"1327712784
",51
hold her hand,0.011247954687382305,4,2242,"1327654893
",66
"Sending ""Good morning, beautiful. I love you,"" texts - while she's asleep - for her to find when she wakes up. =^.^=",0.013035734385809204,1,5,"1406944380
",71
telling her you love her like Snape loved Lily,0.013739761215801142,2,785,"1434837381
",70
"Send her a cute goodnight texts while she's sleeping, so she wakes up with a smile on her face.",0.016227609512645534,15,967,"1418908130
",73
preach it Weezy http:\/\/t.co\/z62AAu2Uo7,0.004766898375790729,5,200,"1433975201
",13
text her something adorable when you KNOW shes asleep so when she wakes up she's smiling from ea…,0.011723107599147643,2,445,"1430234367
",69
when you know shes asleep and you send her a very long text message expressing your love and she wakes up to it,0.014495003870291664,2,1591,"1327678863
",77
mortgage repayments #makeakidshowserious,0.001665741254858412,1,17,"1428442371
",0
"smile at her, talk to her, hug her, tell her she looks beautiful, write her a song,send her cute little messages etc",0.01851192007787119,1,536,"1327689689
",72
I was on #30WaysToMakeAGirlSmile lmfao! Hella cracked me up.,0.0043470687157307905,1,79,"1424377827
",32
